DISTRICT,NAME OF THE HOSPITAL,CONTACT NO,REGULAR BEDS,,,OXYGEN BEDS,,,ICU BEDS (Ventilator/ CPAP),,,TOTAL BEDS,,,LAST UPDATED,,lat,long,phenom_city,phenom_state,phenom_country
,,,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,DATE,TIME,,,,,
Nizamabad,66. ARMOOR CHC,7660019852,20,0,20,50,0,50,10,0,10,80,0,80,30/04/2021,3:01:22 PM,18.6732693,78.0978477,Nizamabad,Telangana,India
Nizamabad,67. GOVERNMENT GENERAL HOSPTIAL - NIZAMABAD,9989240172,131,46,85,300,292,8,90,62,28,521,400,121,30/04/2021,9:09:48 PM,18.6732693,78.0978477,Nizamabad,Telangana,India
Peddapalli,68. AH GODAVARIKHANI / RAMAGUNDAM,9849126140,10,3,7,40,20,20,0,0,0,50,23,27,01/05/2021,9:26:50 AM,18.7519,79.5134,Ramagundam,Telangana,India
Peddapalli,69. AREA HOSPITAL SCCL- RAMAGUNDAM,9491144960,69,28,41,19,14,5,18,0,18,106,42,64,30/04/2021,8:33:50 AM,18.7519,79.5134,Ramagundam,Telangana,India
Peddapalli,70. CHC MANTHANI,9494853905,28,0,28,0,0,0,0,0,0,28,0,28,01/05/2021,9:27:03 AM,16.37475,78.40404,Peddapalli,Telangana,India
Peddapalli,71. DH PEDDAPALLY,9949016111,0,0,0,42,13,29,0,0,0,42,13,29,01/05/2021,8:22:22 AM,16.37475,78.40404,Peddapalli,Telangana,India
Rajanna,72. DH SIRCILLA,9985003080,13,6,7,105,82,23,10,10,0,128,98,30,01/05/2021,7:51:26 AM,,,,,
Rangareddy,73. AH VANASTHALIPURAM,8008553912,40,6,34,10,1,9,0,0,0,50,7,43,01/05/2021,9:18:11 AM,,,,,
Rangareddy,74. CHC CHEVELLA,8008553862,20,0,20,0,0,0,0,0,0,20,0,20,30/04/2021,5:36:44 PM,17.30678,78.1372,Chevella,Telangana,India
Rangareddy,75. CHC HAYATHNAGAR,8008553863,16,0,16,0,0,0,0,0,0,16,0,16,30/04/2021,6:45:40 PM,,,,,
Rangareddy,76. CHC MAHESHWARAM,9966803676,17,0,17,0,0,0,0,0,0,17,0,17,30/04/2021,10:40:06 PM,,,,,
Rangareddy,77. CHC RAJENDERNAGAR,8008553865,4,0,4,0,0,0,0,0,0,4,0,4,01/05/2021,9:26:44 AM,,,,,
Rangareddy,78. CHC SHADNAGAR,8328167440,6,0,6,0,0,0,0,0,0,6,0,6,30/04/2021,4:24:26 PM,17.06473,78.21279,Shadnagar,Telangana,India
Rangareddy,79. DH KONDAPUR,9440061197,10,0,10,62,11,51,38,25,13,110,36,74,01/05/2021,6:32:38 AM,17.55892,78.01326,Kondapur,Telangana,India
Rangareddy,"80. TIMS, GACHIBOWLI FACILITY",9494902900,281,122,159,843,428,415,137,137,0,1261,687,574,01/05/2021,8:47:34 AM,,,,,
Sangareddy,81. AH JOGIPET,6281391780,48,0,48,20,0,20,2,0,2,70,0,70,01/05/2021,9:51:25 AM,,,,,
Sangareddy,82. AH NARAYANKHED,9346440041,50,0,50,12,1,11,8,6,2,70,7,63,01/05/2021,9:34:05 AM,,,,,
Sangareddy,83. AH PATANCHERU,9908663194,0,0,0,69,0,69,0,0,0,69,0,69,30/04/2021,11:37:12 AM,,,,,
Sangareddy,84. AH ZAHEERABAD,9948095881,8,0,8,60,2,58,9,7,2,77,9,68,01/05/2021,7:35:46 AM,,,,,
Sangareddy,85. CHC SADASHIVPET,9849077415,50,0,50,0,0,0,0,0,0,50,0,50,30/04/2021,3:17:54 PM,,,,,
Sangareddy,86. D.H. SANGAREDDY,9542099858,0,0,0,180,89,91,20,5,15,200,94,106,30/04/2021,6:45:08 PM,,,,,
Siddipet,87. AH GAJWEL,9246969139,0,0,0,0,0,0,0,0,0,0,0,0,01/05/2021,7:59:18 AM,18.10483,78.84858,Siddipet,Telangana,India
Siddipet,88. CHC CHERIYAL,8919663625,0,0,0,0,0,0,0,0,0,0,0,0,01/05/2021,7:07:35 AM,18.10483,78.84858,Siddipet,Telangana,India
Siddipet,89. CHC DUBBAK,8328158006,0,0,0,0,0,0,0,0,0,0,0,0,30/04/2021,10:03:42 AM,18.10483,78.84858,Siddipet,Telangana,India
Siddipet,90. CHC NANGUNOOR,9959715715,0,0,0,0,0,0,0,0,0,0,0,0,29/04/2021,1:41:09 PM,18.10483,78.84858,Siddipet,Telangana,India
Siddipet,91. GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL SIDDIPET,9848334447,0,0,0,325,74,251,35,35,0,360,109,251,30/04/2021,11:37:17 PM,18.10483,78.84858,Siddipet,Telangana,India
Suryapet,92. AH HUZURNAGAR,9666904145,67,14,53,0,0,0,0,0,0,67,14,53,01/05/2021,9:11:03 AM,17.1405328,79.6225105,Suryapet,Telangana,India
Suryapet,93. CHC KODADA,8309972445,15,0,15,5,0,5,0,0,0,20,0,20,01/05/2021,9:06:38 AM,17.1405328,79.6225105,Suryapet,Telangana,India
Suryapet,94. GOVERNMENT GENERAL HOSPTIAL - SURYAPET,9866430995,80,80,0,130,83,47,30,10,20,240,173,67,30/04/2021,10:52:29 AM,17.1405328,79.6225105,Suryapet,Telangana,India
Vikarabad,95. CHC MARPALLY,8143626911,10,0,10,0,0,0,0,0,0,10,0,10,30/04/2021,9:53:16 AM,17.3381,77.90441,Vikarabad,Telangana,India
Vikarabad,96. CHC VIKARABAD,6309371036,0,0,0,0,0,0,0,0,0,0,0,0,30/04/2021,10:45:46 AM,17.3381,77.90441,Vikarabad,Telangana,India
Vikarabad,97. D.H. TANDUR,8197973685,50,40,10,50,0,50,0,0,0,100,40,60,29/04/2021,1:05:47 PM,17.3381,77.90441,Vikarabad,Telangana,India
Wanaparthy,98. AH WANAPARTHY,8555923516,12,7,5,46,20,26,4,0,4,62,27,35,01/05/2021,8:22:29 AM,16.36738,78.06889,Wanparti,Telangana,India
Wanaparthy,99. CHC REVALLY,9866878558,0,0,0,0,0,0,0,0,0,0,0,0,30/04/2021,10:42:14 AM,16.36738,78.06889,Wanparti,Telangana,India
Warangal Rural,100. CHC PARKAL,9866412022,24,0,24,0,0,0,0,0,0,24,0,24,30/04/2021,4:19:11 PM,17.9899747,79.6043994,Warangal,Telangana,India
Warangal Rural,101. CHC WARDHANNAPET,9849391090,24,0,24,0,0,0,0,0,0,24,0,24,30/04/2021,6:51:39 PM,17.9899747,79.6043994,Warangal,Telangana,India
Warangal Rural,102. DH NARSAMPET,9440170371,10,4,6,20,5,15,0,0,0,30,9,21,01/05/2021,9:21:50 AM,17.9899747,79.6043994,Warangal,Telangana,India
Warangal Urban,103. GOVT T.B C.D. HOSPITAL,9849881883,96,0,96,4,0,4,0,0,0,100,0,100,30/04/2021,11:39:32 AM,17.9899747,79.6043994,Warangal,Telangana,India
Warangal Urban,104. MAHATMA GANDHI MEMORIAL HOSPITAL,9848409171,410,0,410,680,317,363,80,17,63,1170,334,836,01/05/2021,9:13:57 AM,17.9899747,79.6043994,Warangal,Telangana,India
Yadadri,105. CHC ALAIR,9705767499,21,0,21,0,0,0,0,0,0,21,0,21,01/05/2021,7:35:08 AM,,,,,
Yadadri,106. CHC CHOUTUPPAL,9948595220,11,0,11,5,0,5,0,0,0,16,0,16,01/05/2021,9:26:08 AM,,,,,
Yadadri,107. CHC RAMANNAPET,8008553205,24,0,24,0,0,0,0,0,0,24,0,24,30/04/2021,9:25:53 PM,,,,Telangana,India
Yadadri,108. DH BHONGIR,7702544000,25,3,22,40,18,22,0,0,0,65,21,44,01/05/2021,7:47:45 AM,,,,,
Adilabad,1. A.D.B. HOSPITALS,8555098068,11,1,10,5,5,0,3,3,0,19,9,10,01/05/2021,8:54:41 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,2. ADILABAD NEURO SUPER SPECIALITY HOSPITAL,9505262365,7,0,7,3,0,3,0,0,0,10,0,10,29/04/2021,9:21:43 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,3. ADITHYA GENERAL HOSPITAL,9908719345,10,5,5,5,4,1,5,5,0,20,14,6,28/04/2021,5:50:37 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,4. AGARWAL HOSPITAL,9505579000,18,0,18,2,0,2,0,0,0,20,0,20,28/04/2021,11:58:25 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,5. AKHIL ORTHOPEDIC HOSPITAL,9440612031,8,0,8,2,0,2,0,0,0,10,0,10,30/04/2021,12:57:12 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,6. AMMA HOSPITAL,9908943787,7,3,4,3,0,3,5,0,5,15,3,12,30/04/2021,1:39:27 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,7. AYYAPPA ORTHOPEDIC AND CHILDRENDS HOSPITAL HOSPITAL,9440441394,18,0,18,2,0,2,0,0,0,20,0,20,01/05/2021,8:41:22 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,8. BALAJI HOSPITAL,9177981213,6,0,6,0,0,0,0,0,0,6,0,6,30/04/2021,1:37:00 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,"9. CHROME HOSPITAL, ADILABAD",7382492683,7,0,7,10,0,10,7,0,7,24,0,24,28/04/2021,11:22:44 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,10. DR.SUNDARAIAH HOSPITAL NEW HOPE LAPROSCOY CENTRE,8686055077,8,0,8,2,0,2,0,0,0,10,0,10,30/04/2021,1:42:24 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,11. ELIGHT HOSPITAL,9866110729,7,1,6,3,0,3,0,0,0,10,1,9,28/04/2021,6:09:28 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,12. HOLLY TRINITY HOSPITAL,9603122757,13,0,13,2,0,2,0,0,0,15,0,15,30/04/2021,3:05:20 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,"13. HYDERABAD EYE CENTRE, UNIT SESHANNA CHENNAWAR EYE CENTRE",7093824299,22,0,22,3,0,3,0,0,0,25,0,25,27/04/2021,8:13:20 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,14. JANANI MATERNITY HOSPITAL AND DIAGNOSTICS,8341110011,7,0,7,3,0,3,0,0,0,10,0,10,28/04/2021,8:38:16 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,15. JEEVAN JYOTHI HOSPITAL,9490226020,13,0,13,5,0,5,0,0,0,18,0,18,28/04/2021,1:36:49 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,16. KARTHIKEYA HOSPITAL,9701502901,8,0,8,2,0,2,0,0,0,10,0,10,28/04/2021,3:50:22 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,17. MADHAVA HOSPITAL,9440035441,8,0,8,2,0,2,0,0,0,10,0,10,30/04/2021,1:39:54 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,18. MAMATHA HOSPITAL,9440422418,18,0,18,2,0,2,0,0,0,20,0,20,27/04/2021,11:11:10 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,19. NAKSHATRA HOSPITAL,8884170980,8,8,0,0,0,0,6,6,0,14,14,0,28/04/2021,4:17:47 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,20. PRAGATHI HOSPITAL,9908943787,7,1,6,3,0,3,3,0,3,13,1,12,30/04/2021,1:40:23 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,21. RAJ HOSPITAL,9951984577,8,0,8,2,0,2,0,0,0,10,0,10,22/04/2021,12:47:53 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,"22. SACHI NURSING HOME AND DIAGNOSTIC CENTRE, ECG AND X- RAY CENTRE",9441865322,15,0,15,5,0,5,0,0,0,20,0,20,28/04/2021,1:24:09 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,"23. SANSA GASTRO, LIVER, SKIN HOSPITAL",7893908061,16,0,16,2,0,2,0,0,0,18,0,18,01/05/2021,8:31:46 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,24. SEVA HOSPITAL AND KIDNEY CENTER AND DIAGNOSTIC CENTER AND X- RAY,9493600533,13,0,13,2,0,2,0,0,0,15,0,15,28/04/2021,1:23:31 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,25. SHARADA NURSING HOME,9177385157,4,0,4,1,0,1,0,0,0,5,0,5,30/04/2021,1:37:37 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,26. SHIVAPRIYA NURSING HOME,9666581399,18,0,18,2,0,2,0,0,0,20,0,20,27/04/2021,3:59:43 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,27. SHREE BALAJI HOSPITAL,8008040081,18,0,18,2,0,2,0,0,0,20,0,20,30/04/2021,3:47:30 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,28. SHREE CRITICAL CARE HOSPITAL,9491841390,6,6,0,6,4,2,8,6,2,20,16,4,30/04/2021,12:11:27 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,29. SHRI GAJANAN HOSPITAL AND INTENSIVE CARE UNIT,9505023964,10,8,2,3,2,1,6,5,1,19,15,4,30/04/2021,3:10:39 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,30. SHRI GAJANAN MATERNITY AND NURSING HOME,8328154350,15,0,15,4,0,4,0,0,0,19,0,19,28/04/2021,4:36:49 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,31. SNEHA NURSING HOME,9866334840,18,0,18,2,0,2,0,0,0,20,0,20,30/04/2021,6:42:28 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,"32. SRAVYA NURSING HOME,",9959911299,18,0,18,2,0,2,0,0,0,20,0,20,30/04/2021,4:26:29 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,33. SRI RAMA NURSING HOME,9951065152,8,0,8,2,0,2,0,0,0,10,0,10,29/04/2021,10:04:02 AM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,34. SRI SRI RAGHAVENDRA NURSING HOME,9908900550,8,0,8,2,0,2,0,0,0,10,0,10,30/04/2021,4:25:23 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,35. SRI VENKATESHWARA CHILDREN’S CLINIC AND DIAGNOSTIC CENTER.,9849543364,8,0,8,2,0,2,0,0,0,10,0,10,30/04/2021,4:45:32 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,36. SUJATHA MATERNITY AND SURGICAL NURSING HOME,8187037035,8,0,8,2,0,2,0,0,0,10,0,10,19/04/2021,6:18:20 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,37. TIRUMALA HOSPITAL,8341110011,8,0,8,2,0,2,0,0,0,10,0,10,30/04/2021,1:36:30 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,38. TULASI HOSPITAL,9393272277,8,0,8,2,0,2,0,0,0,10,0,10,28/04/2021,3:57:19 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,39. UPENDRA GENERAL HOSPITAL,9849878635,6,0,6,1,1,0,4,4,0,11,5,6,28/04/2021,4:35:02 PM,19.67203,78.5359,Adilabad,Telangana,India
Adilabad,40. VAIBHAVI HOSPITAL,9848797507,8,0,8,2,0,2,0,0,0,10,0,10,28/04/2021,2:46:23 PM,19.67203,78.5359,Adilabad,Telangana,India
